scenario,confluence,name,netcdf_name,id,parametertype,dimensions,valueencoding,codeset,unitofmeasure,fillvalue,displayname,precision,visible,parameterfunctionid,parameterfunctionmap,qcfunctions,standardname,dataproductidentifier,description,longname,dataproducttype,datalevel
TO-DO,PRESF,cond_coeff_cslope,cond_coeff_cslope,PD187,quantity,,float32,,1,-9999999,Conductivity Coefficient Slope,6,,,,,,,,,,
TO-DO,PARAD,par,par,PD188,quantity,,uint32,,counts,0,PAR Measurement,0,,,,,,OPTPARW_L0,Photosynthetically Active Radiation (PAR) unprocessed sensor reading.,Photosynthetically Active Radiation (400-700 nm) Measurement,Unprocessed Data,L0
TO-DO,PARAD,voltage_out,voltage_out,PD189,quantity,,float32,,V,-1.00E+08,Instrument Output Voltage,7,FALSE,,,,,,Instrument output voltage.,Instrument Output Voltage,Engineering Data,L0
TO-DO,PARAD,temperature_volts,temperature_volts,PD190,quantity,,float32,,V,-1.00E+08,Internal Temperature Raw Voltage,5,FALSE,,,,,,Raw analog voltage of instrument internal temperature sensor.,Temperature Raw Voltage,Engineering Data,L0
TO-DO,PARAD,par_measured,par_measured,PD191,quantity,,float32,,umol photons m-2 s-1,-1.00E+08,Measured Photosynthetically Active Radiation,4,,,,OPTPARW,downwelling_photosynthetic_photon_flux_in_sea_water,OPTPARW_L1,Photosynthetically Active Radiation (PAR) is the measure of the density of photons per unit area that are in the spectral range of light (400-700 nanometers) that primary producers use for photosynthesis.,Photosynthetically Active Radiation (400-700 nm),Science Data,L1
TO-DO,PARAD,par_counts_output,par_counts_output,PD192,function,,float32,,umol photons m-2 s-1,-1.00E+08,Photosynthetically Active Radiation,4,,PFID83,"{""counts_output"":""PD188"",""a0"":""CC_a0"",""a1"":""CC_a1"",""Im"":""CC_Im""}",OPTPARW,downwelling_photosynthetic_photon_flux_in_sea_water,OPTPARW_L1,Photosynthetically Active Radiation (PAR) is the measure of the density of photons per unit area that are in the spectral range of light (400-700 nanometers) that primary producers use for photosynthesis.,Photosynthetically Active Radiation (400-700 nm),Science Data,L1
CTD,CTDBP,temperature,temperature,PD193,quantity,,int32,,counts,-9999999,Unprocessed (L0) Seawater Temperature,0,,,,,,TEMPWAT_L0,Unprocessed seawater temperature measurement in counts.,Unprocessed (L0) Seawater Temperature Measurement,Unprocessed Data,L0
CTD,CTDBP,conductivity,conductivity,PD194,quantity,,int32,,counts,-9999999,Unprocessed (L0) Seawater Conductivity,0,,,,,,CONDWAT_L0,"Unprocessed conductivity data that are output directly from the sensor. Seawater conductivity refers to the ability of seawater to conduct electricity. The presence of ions in the seawater, such as salt, increases the electrical conducting ability of seawater. As such, conductivity can be used as a proxy for determining the quantity of salt in a sample of seawater.",Unprocessed (L0) Seawater Electrical Conductivity Measurement,Unprocessed Data,L0
CTD,CTDBP,pressure,pressure,PD195,quantity,,int32,,counts,-9999999,Unprocessed (L0) Seawater Pressure,0,,,,,,PRESWAT_L0,Unprocessed pressure data that are output directly from the sensor. Seawater Pressure refers to the pressure exerted on a sensor in situ by the weight of the column of seawater above it. It is calculated by subtracting one standard atmosphere from the absolute pressure at the sensor to remove the weight of the atmosphere on top of the water column. The pressure at a sensor in situ provides a metric of the depth of that sensor.,Unprocessed (L0) Seawater Pressure Measurement,Unprocessed Data,L0
CTD,CTDBP,pressure_temp,pressure_temp,PD196,quantity,,int32,,counts,-9999999,Internal Pressure Sensor Temperature,0,,,,,,,"Unprocessed temperature from the pressure sensor (inside the housing, but isolated from housing and the electronics) used to calculate CTD output parameters.",Internal Pressure Sensor Temperature,Unprocessed Data,L0
CTD,CTDBP-NO,oxygen,oxygen,PD197,quantity,,int32,,counts,-9999999,Unprocessed (L0) DO Measurement,0,,,,,,DOCONCS-CNT_L0,Unprocessed Dissolved Oxygen (DO) measurement from the Stable Response Dissolved Oxygen Instrument.,Unprocessed (L0) Dissolved Oxygen Measurement,Unprocessed Data,L0
"CTD, Deprecated? See PD12",CTDBP,ctd_time,ctd_time,PD198,quantity,,int32,,seconds since 2000-01-01,-9999999,"Time, UTC",0,,,,,,,Time in seconds since 2000-01-01.,UTC Time,Engineering Data,
CTD,CTDBP,pump_current,pump_current,PD199,quantity,,float32,,mA,-9999999,Pump Current,1,,,,,,,,Pump Current,Engineering Data,
CTD,CTDBP-NO,ext_v01_current,ext_v01_current,PD200,quantity,,float32,,mA,-9999999,Current From External Voltage Sensors 0 & 1,1,,,,,,,,Current From External Voltage Sensors 0 & 1,Engineering Data,
CTD,CTDBP,serial_current,serial_current,PD201,quantity,,float32,,mA,-9999999,Auxiliary Serial Instrument Current,1,,,,,,,,Auxiliary Serial Instrument Current,Engineering Data,
CTD,CTDBP,logging_status,logging_status,PD202,quantity,,string,,1,empty,Logging Status Category,0,,,,,,,"{0:'not logging', 1:'logging', 2:'waiting to start at ...', 3:'unknown',-99:'empty'}",Logging Status Category,Engineering Data,
CTD,CTDBP,num_samples,num_samples,PD203,quantity,,int32,,counts,-9999,Number of Samples,0,,,,,,,,Number of Samples,Engineering Data,
CTD,CTDBP,mem_free,mem_free,PD204,quantity,,int32,,bytes,-9999,Available Memory,0,,,,,,,,Available Memory,Engineering Data,
CTD,CTDBP,sample_interval,sample_interval,PD205,quantity,,int16,,s,-9999,Sampling Interval,0,,,,,,,,Sampling Interval,Engineering Data,
CTD,CTDBP,battery_cutoff,battery_cutoff,PD211,quantity,,float32,,V,-9999999,Battery Cutoff Voltage,1,,,,,,,,Battery Cutoff Voltage,Engineering Data,
CTD,CTDBP,pressure_sensor_type,pressure_sensor_type,PD212,quantity,,string,,1,empty,Pressure Sensor Type Category,0,,,,,,,,Pressure Sensor Type Category,Engineering Data,
CTD,CTDBP,sbe38,sbe38,PD213,boolean,,int8,,1,-9,External SBE38 Flag,0,,,,,,,,External SBE38 Flag,Engineering Data,
CTD,CTDBP,wetlabs,wetlabs,PD215,boolean,,int8,,1,-9,External Wetlabs Flag,0,,,,,,,,External Wetlabs Flag,Engineering Data,
CTD,CTDBP,optode,optode,PD216,boolean,,int8,,1,-9,External Optode Flag,0,,,,,,,,External Optode Flag,Engineering Data,
CTD,CTDBP,gas_tension_device,gas_tension_device,PD217,boolean,,int8,,1,-9,External Gas Tension Device Flag,0,,,,,,,,External Gas Tension Device Flag,Engineering Data,
CTD,CTDBP,ext_volt_0,ext_volt_0,PD218,boolean,,int8,,1,-9,External Voltage 0 Sensor Flag,0,,,,,,,,External Voltage 0 Sensor Flag,Engineering Data,
CTD,CTDBP,ext_volt_1,ext_volt_1,PD219,boolean,,int8,,1,-9,External Voltage 1 Sensor Flag,0,,,,,,,,External Voltage 1 Sensor Flag,Engineering Data,
CTD,CTDBP,ext_volt_2,ext_volt_2,PD220,boolean,,int8,,1,-9,External Voltage 2 Sensor Flag,0,,,,,,,,External Voltage 2 Sensor Flag,Engineering Data,
CTD,CTDBP,ext_volt_3,ext_volt_3,PD221,boolean,,int8,,1,-9,External Voltage 3 Sensor Flag,0,,,,,,,,External Voltage 3 Sensor Flag,Engineering Data,
CTD,CTDBP,ext_volt_4,ext_volt_4,PD222,boolean,,int8,,1,-9,External Voltage 4 Sensor Flag,0,,,,,,,,External Voltage 4 Sensor Flag,Engineering Data,
CTD,CTDBP,ext_volt_5,ext_volt_5,PD223,boolean,,int8,,1,-9,External Voltage 5 Sensor Flag,0,,,,,,,,External Voltage 5 Sensor Flag,Engineering Data,
CTD,CTDBP,echo_characters,echo_characters,PD224,boolean,,int8,,1,-9,Echo Characters Flag,0,,,,,,,,Echo Characters Flag,Engineering Data,
CTD,CTDBP,output_format,output_format,PD225,quantity,,string,,1,empty,Data Output Format Category,0,,,,,,,"The output format of the data sample record. The set of values is: 'raw Hex', 'converted Hex', 'raw decimal', 'converted decimal', or 'converted XML UVIC'",Data Output Format Category,Engineering Data,
CTD,CTDBP,temp_coeff_offset,temp_coeff_offset,PD229,quantity,,float32,,1,-9999999,Temperature Coefficient Offset,6,,,,,,,,Temperature Coefficient Offset,Engineering Data,
CTD,CTDBP,press_coeff_pa0,press_coeff_pa0,PD231,quantity,,float32,,1,-9999999,Pressure Coefficient PA0,6,,,,,,,,Pressure Coefficient PA0,Engineering Data,
CTD,CTDBP,press_coeff_pa1,press_coeff_pa1,PD232,quantity,,float32,,1,-9999999,Pressure Coefficient PA1,6,,,,,,,,Pressure Coefficient PA1,Engineering Data,
CTD,CTDBP,press_coeff_pa2,press_coeff_pa2,PD233,quantity,,float32,,1,-9999999,Pressure Coefficient PA2,6,,,,,,,,Pressure Coefficient PA2,Engineering Data,
CTD,CTDBP,press_coeff_ptempa0,press_coeff_ptempa0,PD234,quantity,,float32,,1,-9999999,Pressure Coefficient PTempA0,6,,,,,,,,Pressure Coefficient PTempA0,Engineering Data,
CTD,CTDBP,press_coeff_ptempa1,press_coeff_ptempa1,PD235,quantity,,float32,,1,-9999999,Pressure Coefficient PTempA1,6,,,,,,,,Pressure Coefficient PTempA1,Engineering Data,
CTD,CTDBP,press_coeff_ptempa2,press_coeff_ptempa2,PD236,quantity,,float32,,1,-9999999,Pressure Coefficient PTempA2,6,,,,,,,,Pressure Coefficient PTempA2,Engineering Data,
CTD,CTDBP,press_coeff_ptca0,press_coeff_ptca0,PD237,quantity,,float32,,1,-9999999,Pressure Coefficient PTCA0,6,,,,,,,,Pressure Coefficient PTCA0,Engineering Data,
CTD,CTDBP,press_coeff_ptca1,press_coeff_ptca1,PD238,quantity,,float32,,1,-9999999,Pressure Coefficient PTCA1,6,,,,,,,,Pressure Coefficient PTCA1,Engineering Data,
CTD,CTDBP,press_coeff_ptca2,press_coeff_ptca2,PD239,quantity,,float32,,1,-9999999,Pressure Coefficient PTCA2,6,,,,,,,,Pressure Coefficient PTCA2,Engineering Data,
CTD,CTDBP,press_coeff_ptcb0,press_coeff_ptcb0,PD240,quantity,,float32,,1,-9999999,Pressure Coefficient PTCB0,6,,,,,,,,Pressure Coefficient PTCB0,Engineering Data,
CTD,CTDBP,press_coeff_ptcb1,press_coeff_ptcb1,PD241,quantity,,float32,,1,-9999999,Pressure Coefficient PTCB1,6,,,,,,,,Pressure Coefficient PTCB1,Engineering Data,
CTD,CTDBP,press_coeff_ptcb2,press_coeff_ptcb2,PD242,quantity,,float32,,1,-9999999,Pressure Coefficient PTCB2,6,,,,,,,,Pressure Coefficient PTCB2,Engineering Data,
CTD,CTDBP,ext_volt0_slope,ext_volt0_slope,PD243,quantity,,float32,,1,-9999999,External Voltage Sensor 0 Slope,6,,,,,,,,External Voltage Sensor 0 Slope,Engineering Data,
CTD,CTDBP,ext_volt0_offset,ext_volt0_offset,PD244,quantity,,float32,,1,-9999999,External Voltage Sensor 0 Offset,6,,,,,,,,External Voltage Sensor 0 Offset,Engineering Data,
CTD,CTDBP,ext_volt1_slope,ext_volt1_slope,PD245,quantity,,float32,,1,-9999999,External Voltage Sensor 1 Slope,6,,,,,,,,External Voltage Sensor 1 Slope,Engineering Data,
CTD,CTDBP,ext_volt1_offset,ext_volt1_offset,PD246,quantity,,float32,,1,-9999999,External Voltage Sensor 1 Offset,6,,,,,,,,External Voltage Sensor 1 Offset,Engineering Data,
CTD,CTDBP,ext_volt2_slope,ext_volt2_slope,PD247,quantity,,float32,,1,-9999999,External Voltage Sensor 2 Slope,6,,,,,,,,External Voltage Sensor 2 Slope,Engineering Data,
CTD,CTDBP,ext_volt2_offset,ext_volt2_offset,PD248,quantity,,float32,,1,-9999999,External Voltage Sensor 2 Offset,6,,,,,,,,External Voltage Sensor 2 Offset,Engineering Data,
CTD,CTDBP,ext_volt3_slope,ext_volt3_slope,PD249,quantity,,float32,,1,-9999999,External Voltage Sensor 3 Slope,6,,,,,,,,External Voltage Sensor 3 Slope,Engineering Data,
CTD,CTDBP,ext_volt3_offset,ext_volt3_offset,PD250,quantity,,float32,,1,-9999999,External Voltage Sensor 3 Offset,6,,,,,,,,External Voltage Sensor 3 Offset,Engineering Data,
CTD,CTDBP,ext_volt4_slope,ext_volt4_slope,PD251,quantity,,float32,,1,-9999999,External Voltage Sensor 4 Slope,6,,,,,,,,External Voltage Sensor 4 Slope,Engineering Data,
CTD,CTDBP,ext_volt4_offset,ext_volt4_offset,PD252,quantity,,float32,,1,-9999999,External Voltage Sensor 4 Offset,6,,,,,,,,External Voltage Sensor 4 Offset,Engineering Data,
CTD,CTDBP,ext_volt5_slope,ext_volt5_slope,PD253,quantity,,float32,,1,-9999999,External Voltage Sensor 5 Slope,6,,,,,,,,External Voltage Sensor 5 Slope,Engineering Data,
CTD,CTDBP,ext_volt5_offset,ext_volt5_offset,PD254,quantity,,float32,,1,-9999999,External Voltage Sensor 5 Offset,6,,,,,,,,External Voltage Sensor 5 Offset,Engineering Data,
CTD,CTDBP,ext_freq_sf,ext_freq_sf,PD255,quantity,,float32,,1,-9999999,External Frequency Channel,6,,,,,,,,External Frequency Channel,Engineering Data,
CTD,CTDBP,press_coeff_pslope,press_coeff_pslope,PD256,quantity,,float32,,1,-9999999,Pressure Coefficient Pslope,6,,,,,,,,Pressure Coefficient Pslope,Engineering Data,
CTD,CTDBP,temp_sensor_serial_number,temp_sensor_serial_number,PD257,quantity,,string,,1,empty,Temperature Sensor Serial Number,0,,,,,,,,Temperature Sensor Serial Number,Engineering Data,
CTD,CTDBP,cond_sensor_serial_number,cond_sensor_serial_number,PD258,quantity,,string,,1,empty,Conductivity Sensor Serial Number,0,,,,,,,,Conductivity Sensor Serial Number,Engineering Data,
CTD,CTDBP,command_set_version,command_set_version,PD259,quantity,,string,,1,-9999999,Command Set Version,0,,,,,,,,Command Set Version,Engineering Data,
CTD,CTDBP,assembly_number,assembly_number,PD261,array<quantity>,,string,,1,empty,PC Board Assembly Number,0,,,,,,,,PC Board Assembly Number,Engineering Data,
CTD,CTDBP,num_events,num_events,PD263,quantity,,int32,,counts,-9999999,Number of Events,0,,,,,,,,Number of Events,Engineering Data,
CTD,CTDBP,samples_free,samples_free,PD264,quantity,,int32,,counts,-9999999,Number of Samples Free,0,,,,,,,,Number of Samples Free,Engineering Data,
CTD,CTDBP,sample_length,sample_length,PD265,quantity,,int32,,bytes,-9999999,Bytes Per Sample,0,,,,,,,,Bytes Per Sample,Engineering Data,
CTD,CTDBP,output_executed_tag,output_executed_tag,PD267,boolean,,int8,,1,-9,Output Executed Tag,0,,,,,,,,Output Executed Tag,Engineering Data,
TO-DO,PREST,set_timeout,set_timeout,PD268,quantity,,int32,,ms,-9999999,Set Timeout,0,,,,,,,Not determined at this time,,,
TO-DO,PREST,set_timeout_max,set_timeout_max,PD269,quantity,,int32,,ms,-9999999,"Set Timeout, Max",0,,,,,,,Not determined at this time,,,
TO-DO,PREST,set_timeout_icd,set_timeout_icd,PD270,quantity,,int32,,ms,-9999999,Set Timeout ICD,0,,,,,,,Not determined at this time,,,
TO-DO,PREST,reference_oscillator_freq,reference_oscillator_freq,PD271,quantity,,float64,,Hz,-9999999,Reference Oscillator Frequency,3,,,,,,,Acquisition oscillator frequency,,,
TO-DO,PREST,pcb_thermistor_value,pcb_thermistor_value,PD272,quantity,,int32,,counts,-9999999,PCB Thermistor Value,0,,,,,,,Printed Circuit Board (PCB) thermistor value,,,
TO-DO,PREST,reference_error,reference_error,PD273,quantity,,float32,,ppm,-9999999,Reference Error,3,,,,,,,Deviation of oscillator frequency from current calibration settings,,,
TO-DO,PREST,device_type,device_type,PD274,quantity,,string,,1,empty,Device Type,0,,,,,,,"Sea-Bird device type, will always be 'SBE54'",,,
TO-DO,PREST,calibration_date_acq_crystal,calibration_date_acq_crystal,PD275,quantity,,string,,1,empty,"Calibration Date, Acquisition Crystal",0,,,,,,,Acquisition crystal calibration date string,,,
TO-DO,PREST,acq_crystal_coeff_fra0,acq_crystal_coeff_fra0,PD276,quantity,,float32,,1,-9999999,Acq Crystal Coeff Fra0,6,,,,,,,Acquisition crystal frequency A0,,,
TO-DO,PREST,acq_crystal_coeff_fra1,acq_crystal_coeff_fra1,PD277,quantity,,float32,,1,-9999999,Acq Crystal Coeff Fra1,6,,,,,,,Acquisition crystal frequency A1,,,
TO-DO,PREST,acq_crystal_coeff_fra2,acq_crystal_coeff_fra2,PD278,quantity,,float32,,1,-9999999,Acq Crystal Coeff Fra2,6,,,,,,,Acquisition crystal frequency A2,,,
TO-DO,PREST,acq_crystal_coeff_fra3,acq_crystal_coeff_fra3,PD279,quantity,,float32,,1,-9999999,Acq Crystal Coeff Fra3,6,,,,,,,Acquisition crystal frequency A3,,,
TO-DO,PREST,pressure_sensor_serial_number,pressure_sensor_serial_number,PD280,quantity,,string,,1,empty,Pressure Sensor Serial Number,0,,,,,,,Digiquartz pressure sensor serial number,,,
TO-DO,PREST,pressure_sensor_range,pressure_sensor_range,PD281,quantity,,float32,,psi,-9999999,Pressure Sensor Range,0,,,,,,,Pressure sensor full scale range,,,
TO-DO,PREST,battery_type,battery_type,PD282,category<int8:str>,,int8,"{0:""Lithium"", 1:""Alkaline"",-99:""empty""}",1,-99,Battery Type,0,,,,,,,"Event type of battery (0 = Lithium, 1 = Alkaline)",,,
TO-DO,PREST,baud_rate,baud_rate,PD283,quantity,,int32,,Bd,-9999999,Baud Rate,0,,,,,,,Serial communications baud rate.,,,
TO-DO,PREST,enable_alerts,enable_alerts,PD284,boolean,,int8,,1,-99,Enable Alerts,0,,,,,,,"Enable output alerts (0 = Do not output alerts, 1 = Output alerts)",,,
TO-DO,PREST,upload_type,upload_type,PD285,category<int8:str>,,int8,"{0:""Upload in ASCII Text"", 1:""Upload in binary"",-99:""empty""}",1,-99,Upload Type,0,,,,,,,"Determine format of uploaded data (0 = Upload as ASCII text, 1 = Upload as binary data)",,,
TO-DO,PREST,sample_period,sample_period,PD286,quantity,,int32,,s,-9999999,Sample Period,0,,,,,,,Duration of each pressure measurement,,,
TO-DO,PREST,event_count,event_count,PD288,quantity,,int32,,count,-9999999,Event Count,0,,,,,,,Number of logged events,,,
TO-DO,PREST,bytes_used,bytes_used,PD289,quantity,,int32,,1,-9999999,Bytes Used,0,,,,,,,Number of bytes stored in memory,,,
TO-DO,PREST,bytes_free,bytes_free,PD290,quantity,,int32,,1,-9999999,Bytes Free,0,,,,,,,Number of additional bytes that can be stored in memory,,,
TO-DO,PREST,manufacturer,manufacturer,PD291,quantity,,string,,1,empty,Manufacturer,0,,,,,,,Instrument manufacturer,,,
TO-DO,PREST,firmware_date,firmware_date,PD293,quantity,,string,,1,empty,Firmware Date,0,,,,,,,Firmware date,,,
TO-DO,PREST,hardware_version,hardware_version,PD294,array<quantity>,,string,,1,empty,Hardware Version,0,,,,,,,Hardware version,,,
TO-DO,PREST,pcb_serial_number,pcb_serial_number,PD295,array<quantity>,,string,,1,empty,PCB Serial Number,0,,,,,,,Printed Circuit Board (PCB) serial number,,,
TO-DO,PREST,pcb_type,pcb_type,PD296,quantity,,string,,1,empty,PCB Type,0,,,,,,,Event type of PCB,,,
TO-DO,PREST,manufacture_date,manufacture_date,PD297,quantity,,string,,1,empty,Manufacture Date,0,,,,,,,Date of manufacture,,,
TO-DO,PREST,number_events,number_events,PD298,quantity,,int32,,1,-9999999,Number Events,0,,,,,,,Sum of recorded events,,,
TO-DO,PREST,power_on_reset,power_on_reset,PD299,quantity,,int32,,1,-9999999,Power on Reset,0,,,,,,,Event type 'PowerOnReset',,,
TO-DO,PREST,power_fail_reset,power_fail_reset,PD300,quantity,,int32,,1,-9999999,Power Fail Reset,0,,,,,,,Event type PowerFailReset,,,
TO-DO,PREST,serial_byte_error,serial_byte_error,PD302,quantity,,int32,,1,-9999999,Serial Byte Error,0,,,,,,,Event type SerialByteErr,,,
TO-DO,PREST,command_buffer_overflow,command_buffer_overflow,PD303,quantity,,int32,,1,-9999999,Command Buffer Overflow,0,,,,,,,Event type CmdBuffOflow,,,
